Andrev2015,muscle,pc3,single_Andrev2015,single_muscle,single_pc3,scratch_Andrev2015,scratch_muscle,scratch_pc3,pretrain_Andrev2015,pretrain_muscle,pretrain_pc3
0.4924657212605863,0.547566411902818,0.5822413059055946,0.5410685035809847,0.5910674042240102,0.6261146046755312,0.6181618487967331,0.6151784666892058,0.6644550439159188,0.6166425551464291,0.5688992282395384,0.6910044196236425
0.5281069064582427,0.6028934072347887,0.5713791713338693,0.547179817795649,0.5624750415862844,0.6455717780336084,0.6281926471428543,0.5690545387862814,0.6863648892685916,0.6238758100828088,0.6126174949078069,0.6802361501013962
0.530928668110778,0.5466940278158777,0.5736660317091482,0.5714824663199373,0.5545300178171422,0.6280021502604668,0.6211114996674421,0.5858049464764895,0.6849146260405066,0.5995122328960937,0.584674814412956,0.6735689059217111
0.5489315401113655,0.5598195354385015,0.5863706242688773,0.5551241140935607,0.5605096204965402,0.6191832672515893,0.6278149210202123,0.6838686865859025,0.6736062304035205,0.6032598577883835,0.6396382255613542,0.6641642265572404
0.5304438965685636,0.6988736149307381,0.5626639113217776,0.5590073531447471,0.6321884581899986,0.5994788348291581,0.6401617454864615,0.6463496238684784,0.6612956665604424,0.630660435137378,0.6210207868305133,0.6690967571689996
0.5253012636835631,0.5530874986059995,0.5413885293348174,0.5649243488563829,0.566819108341178,0.5443297151949065,0.6283204392057914,0.6265029186825661,0.6581513207358309,0.6078523449374543,0.6482827445034699,0.6916868589509246
0.5248564256078839,0.4436371888563208,0.5476142108387254,0.5740501627055246,0.5840877286226221,0.6405177399485841,0.6117446608931773,0.6158459715922285,0.6785938086166906,0.6302399915888987,0.6263443036561053,0.6757544675904509
0.5138097617207024,0.5683980917196295,0.5736922150042232,0.5778998413665144,0.5896193819723788,0.6409295086575133,0.61909162295408,0.6430980158260312,0.669225436352617,0.6224115725788946,0.6062299356130403,0.685490421994759
0.5224129072284471,0.5165763446687439,0.5683095375450803,0.5619592661780918,0.6089749599833922,0.6649200010595442,0.6094344731747571,0.6192991528974697,0.6757207374836309,0.5992667128363016,0.6122341752605265,0.7040556287497975
0.519344227291114,0.6730851953879395,0.5644011672625084,0.5582129686701568,0.5807506797405655,0.6339195429871567,0.6290746444138177,0.6583415807648614,0.6819013351528103,0.6281868379971527,0.6215296767070752,0.6616879816900081
