task,0,1,2,3,4,5,6,7
RP-293T,0.38859260310963173,0.40038975,0.39534575,0.41177633333333336,0.35352749999999994,0.36151725,0.0010236666666666669,
RP-pc3,0.45358659725094413,0.47783875,0.47175224999999993,0.47297366666666657,0.015656249999999976,0.0012725,0.012523999999999966,
RP-muscle,0.3933171569622352,0.010222499999999975,,,,,0.00825716666666665,
MPA-V,,0.46915874999999996,0.44746025,0.5817553333333333,0.6528690000000001,0.65823975,0.8070063333333334,0.871195184235946
MPA-H,,0.66067675,0.6520885000000001,0.7563203333333334,0.6790004999999999,0.7673995,0.8214410000000001,0.8339188236555583
MPA-U,,0.6406544999999999,0.6388172500000001,0.7796976666666667,0.68615075,0.81137475,0.9120263333333334,0.9420208750519716
