Andrev2015,pc3,muscle,human,vleng,fold
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,0
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,1
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,2
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,3
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,4
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,5
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,6
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,7
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,8
0.6383677702687053,0.6980942124898599,0.6707532065854219,0.8822786631659567,0.870709539580858,9
